Stokes,RMSE,CCC,Peak Err %,Deriv Corr
I,0.010204016672502082,0.9946153594044898,0.21428879564964884,0.9779130050275262
Q,0.006139806530316635,0.4486391165214283,14.550638941146623,0.6895205437402215
U,0.006048157193655236,0.4326710396156231,14.904622106960822,0.6773086280940657
V,0.007678618543470321,0.8214398123585605,4.875015931715473,0.8701381152057515
